id,awb,courier,date,weight,zone,amount,cod,status
4090517,77111879740,BlueDart,2026-08-06,0.25,Maharashtra,34.69,0.0,in_transit
4090518,7D135996864,DTDC,2026-08-06,0.5,Punjab,29.5,0.0,in_transit
4090519,26022370056479,Shree Maruti,2026-08-06,0.19,Gujarat,23.6,0.0,delivered
4090520,DBLP0000033463,Ekart Logistics,2026-08-06,6.0,Tamil Nadu,114.46,0.0,in_transit
4090521,77111879751,BlueDart,2026-08-06,1.5,Maharashtra,47.08,0.0,delivered
4090522,77112001046,BlueDart,2026-08-06,1.0,Maharashtra,43.37,0.0,delivered
4090523,77111879762,BlueDart,2026-08-06,0.5,Rajasthan,34.69,0.0,delivered
4090524,77111879773,BlueDart,2026-08-06,1.0,Telangana,43.37,0.0,pending
4090525,77111879784,BlueDart,2026-08-06,0.04,Punjab,34.69,0.0,pending
4090526,77111879795,BlueDart,2026-08-06,0.04,Maharashtra,34.69,0.0,in_transit
4090527,26022370056481,Shree Maruti,2026-08-06,0.25,Gujarat,23.6,0.0,delivered
4090528,DBTP0000027620,Ekart Logistics,2026-08-06,1.0,Rajasthan,37.76,0.0,pending
4090529,77111879806,BlueDart,2026-08-06,0.5,Karnataka,34.69,0.0,delivered
4090530,7D135996865,DTDC,2026-08-06,2.0,Delhi,66.08,0.0,delivered
4090531,77111879810,BlueDart,2026-08-06,0.25,Uttar Pradesh,34.69,0.0,delivered
4090532,77111879832,BlueDart,2026-08-06,0.1,Maharashtra,34.69,0.0,pending
4090533,26022370056483,Shree Maruti,2026-08-06,0.25,Gujarat,23.6,0.0,delivered
4090534,77111879843,BlueDart,2026-08-06,0.19,Maharashtra,34.69,0.0,delivered
4090535,DBTP0000027621,Ekart Logistics,2026-08-06,1.0,Maharashtra,37.76,0.0,in_transit
4090536,26022370056485,Shree Maruti,2026-08-06,1.5,Gujarat,44.84,0.0,delivered
4090537,DBTP0000027622,Ekart Logistics,2026-08-06,1.0,Maharashtra,37.76,0.0,in_transit
4090538,DBTP0000027623,Ekart Logistics,2026-08-06,1.0,Uttar Pradesh,37.76,0.0,delivered
4090539,34791187071573,ShipRocket,2026-08-06,0.25,Maharashtra,29.5,0.0,delivered
4090540,77111879854,BlueDart,2026-08-06,0.5,Kerala,34.69,0.0,in_transit
4090541,31150410372584,Delhivery,2026-08-06,2.0,Assam,84.96,0.0,in_transit
4090542,77111879865,BlueDart,2026-08-06,1.0,Maharashtra,43.37,0.0,delivered
4090543,26022370056487,Shree Maruti,2026-08-06,0.15,Gujarat,23.6,0.0,pending
4090544,77111879880,BlueDart,2026-08-06,0.17,Punjab,34.69,0.0,pending
4090545,77111879902,BlueDart,2026-08-06,0.14,Tamil Nadu,34.69,0.0,delivered
4090546,500704170875,Trackon,2026-08-06,3.0,Madhya Pradesh,54.28,0.0,in_transit
4090547,31150410372595,Delhivery,2026-08-06,1.0,Tamil Nadu,84.96,0.0,in_transit
4090548,DBTP0000027624,Ekart Logistics,2026-08-06,1.5,Delhi,37.76,0.0,delivered
4090549,77111879913,BlueDart,2026-08-06,1.5,Maharashtra,47.08,0.0,delivered
4090550,77111881243,BlueDart,2026-08-06,0.25,Maharashtra,34.69,0.0,in_transit
4090551,77111881254,BlueDart,2026-08-06,0.25,Maharashtra,34.69,0.0,discrepancy
4090552,DBTP0000027637,Ekart Logistics,2026-08-06,1.5,Karnataka,37.76,0.0,in_transit
4090553,500623283177,Trackon,2026-08-06,0.5,Uttar Pradesh,31.86,0.0,in_transit
4090554,7D135997023,DTDC,2026-08-06,2.0,Gujarat,66.08,0.0,pending
4090555,77111881265,BlueDart,2026-08-06,1.0,Karnataka,43.37,0.0,delivered
4090556,77111881276,BlueDart,2026-08-06,0.06,Delhi,34.69,0.0,delivered
4090557,DBTP0000027638,Ekart Logistics,2026-08-06,1.0,Telangana,37.76,0.0,pending
4090558,7D135996889,DTDC,2026-08-06,0.5,Andhra Pradesh,29.5,0.0,in_transit
4090559,77111881280,BlueDart,2026-08-06,0.2,Kerala,34.69,0.0,pending
4090560,26022370056504,Shree Maruti,2026-08-06,0.25,Gujarat,23.6,0.0,delivered
4090561,77111881291,BlueDart,2026-08-06,0.25,Karnataka,34.69,0.0,delivered
4090562,7D135996890,DTDC,2026-08-06,1.0,Odisha,51.92,0.0,in_transit
4090563,31150410372606,Delhivery,2026-08-06,2.0,Rajasthan,84.96,0.0,delivered
4090564,77111881302,BlueDart,2026-08-06,0.07,Rajasthan,34.69,0.0,delivered
4090565,500704170668,Trackon,2026-08-06,3.0,Telangana,54.28,0.0,in_transit
4090566,26022370056506,Shree Maruti,2026-08-06,0.24,Gujarat,23.6,0.0,delivered
4090567,500704170884,Trackon,2026-08-06,3.0,Maharashtra,54.28,0.0,delivered
4090568,77111881324,BlueDart,2026-08-06,0.5,Delhi,34.69,0.0,discrepancy
4090569,7D135996891,DTDC,2026-08-06,2.0,West Bengal,66.08,0.0,delivered
4090570,77111881335,BlueDart,2026-08-06,0.5,Punjab,34.69,0.0,delivered
4090571,77111881346,BlueDart,2026-08-06,0.04,Delhi,34.69,0.0,delivered
4090572,7D135996892,DTDC,2026-08-06,2.0,Uttar Pradesh,66.08,0.0,in_transit
