state,orders,total_cost,avg_cost,fwd_cost,rto_cost,delivery_rate_pct,rto_rate_pct,ndr_rate_pct,avg_delivery_days
Maharashtra,6080,282586.3,46.48,282376.91,209.39,15.82,0.05,3.01,3.99
Gujarat,6191,215784.37,34.85,212635.43,3148.94,25.38,0.24,2.23,3.2
Uttar Pradesh,4421,205704.15,46.53,205704.15,0.0,8.08,0.0,2.58,4.58
Karnataka,3988,201098.85,50.43,201012.95,85.9,12.06,0.05,1.43,4.69
Tamil Nadu,2941,141266.69,48.03,141218.06,48.63,5.61,0.1,0.99,4.78
Telangana,2493,132528.27,53.16,132528.27,0.0,11.51,0.0,2.29,4.59
Delhi,2442,113097.74,46.31,113097.74,0.0,16.79,0.0,5.94,4.29
Rajasthan,1955,107858.77,55.17,107773.69,85.08,12.43,0.15,2.86,4.26
Kerala,2372,107830.3,45.46,107566.14,264.16,4.13,0.42,1.14,4.32
West Bengal,1982,95149.07,48.01,95149.07,0.0,3.03,0.0,0.35,4.37
Haryana,1769,86956.94,49.16,86932.4,24.54,11.19,0.06,5.31,4.37
Andhra Pradesh,1692,80193.08,47.4,80193.08,0.0,4.49,0.0,0.71,5.07
Madhya Pradesh,1658,77153.46,46.53,77123.96,29.5,13.93,0.06,2.77,4.26
Punjab,1472,65950.27,44.8,65950.27,0.0,7.27,0.07,2.72,4.65
Odisha,1285,60721.09,47.25,60721.09,0.0,2.02,0.0,0.16,4.89
Bihar,1106,52857.48,47.79,52857.48,0.0,4.79,0.0,0.9,5.12
Uttarakhand,753,34134.04,45.33,34107.96,26.08,7.97,0.13,1.99,4.69
Jharkhand,676,32945.19,48.74,32945.19,0.0,4.88,0.0,0.3,4.98
Chhattisgarh,610,27832.23,45.63,27832.23,0.0,1.8,0.0,0.16,5.27
Assam,474,26289.6,55.46,26289.6,0.0,1.48,0.0,0.0,3.86
Himachal Pradesh,465,21382.51,45.98,21382.51,0.0,4.73,0.0,0.22,5.09
Jammu And Kashmir,199,12072.68,60.67,12072.68,0.0,2.51,0.0,0.5,3.82
Goa,189,9129.19,48.3,9129.19,0.0,13.76,0.0,1.59,4.7
Chandigarh,144,6265.99,43.51,6265.99,0.0,7.64,0.0,1.39,4.87
Puducherry,95,4534.81,47.73,4534.81,0.0,2.11,0.0,0.0,3.96
Mizoram,35,3310.26,94.58,3310.26,0.0,0.0,0.0,0.0,0.0
Nagaland,51,2974.17,58.32,2974.17,0.0,1.96,0.0,0.0,3.0
Andaman And Nicobar Islands,41,2930.92,71.49,2930.92,0.0,0.0,0.0,0.0,0.0
Manipur,29,2587.54,89.23,2587.54,0.0,0.0,0.0,0.0,0.0
Tripura,39,2297.62,58.91,2297.62,0.0,0.0,0.0,0.0,0.0
Meghalaya,43,2189.61,50.92,2189.61,0.0,0.0,0.0,0.0,0.0
Unknown,31,2031.47,65.53,2031.47,0.0,19.35,0.0,3.23,0.68
Sikkim,38,1899.78,49.99,1899.78,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,32,1697.29,53.04,1697.29,0.0,3.12,0.0,0.0,0.12
Dadra And Nagar Haveli And Daman And Diu,29,1057.65,36.47,1057.65,0.0,17.24,0.0,3.45,3.93
Ladakh,5,457.1,91.42,457.1,0.0,0.0,0.0,0.0,0.0
